tag,user_application_count,tagged_movie_count,user_tag_user_count,genome_tag_id,matched_movie_count,mean_genome_relevance
sundance grand jury prize: dramatic,17,12,7,,,
surprising,17,13,13,,,
swords,17,11,11,,,
teenage angst,17,4,16,,,
threesome,17,4,15,,,
transgendered,17,5,12,,,
trite,17,10,14,,,
trolls,17,7,15,,,
tv miniseries,17,16,7,,,
unlikable protagonist,17,10,12,,,
very little dialogue,17,5,15,,,
visually interesting--that's about it,17,8,15,,,
walter matthau,17,15,14,,,
widows/widowers,17,16,4,,,
wolverine,17,7,13,,,
wong kar-wai,17,10,6,,,
wrongful imprisonment,17,6,16,,,
yul brynner,17,6,12,,,
sequels,16,8,13,902,8.0,0.86278125
fun movie,16,11,15,415,11.0,0.7781136363636364
abandonment,16,6,11,,,
aborigines,16,7,12,,,
absorbing,16,6,14,,,
actresses,16,14,4,,,
adapted from:true story,16,15,4,,,
aki kaurismã¤ki,16,10,10,,,
alain resnais,16,16,1,,,
alan parker,16,10,4,,,
albert brooks,16,10,10,,,
alcohol,16,15,13,,,
all-star cast,16,9,11,,,
amazon,16,13,11,,,
ambiguous,16,11,15,,,
american culture,16,7,14,,,
anti-religion,16,6,14,,,
arizona,16,12,8,,,
army,16,13,11,,,
author:agatha christie,16,7,5,,,
author:j. k. rowling,16,8,8,,,
author:michael crichton,16,11,4,,,
avante garde,16,7,13,,,
bangkok,16,7,12,,,
banksy,16,1,16,,,
bast background universe,16,9,3,,,
beauty,16,8,16,,,
bechdel test:pass (barely),16,16,3,,,
belgium,16,7,14,,,
btaegepriority,16,16,1,,,
buddy,16,10,9,,,
burgess meredith,16,6,5,,,
burt young,16,7,4,,,
butterfly effect,16,3,16,,,
cecil b. demille,16,16,1,,,
charles laughton,16,8,11,,,
chris marker,16,9,6,,,
complex relationships,16,13,6,,,
crumbling marriages,16,13,6,,,
dani2007,16,16,1,,,
disk,16,15,3,,,
don bluth,16,9,7,,,
drug dealing,16,11,12,,,
eccentric,16,10,12,,,
edgy,16,10,9,,,
edward james olmos,16,10,11,,,
eliza dushku,16,6,15,,,
emilio estevez,16,11,12,,,
emily watson,16,7,15,,,
engaging,16,12,10,,,
eugene hutz,16,3,13,,,
exploration,16,7,14,,,
famke janssen,16,10,15,,,
far fetched,16,6,15,,,
fascinating,16,13,8,,,
fatherhood,16,8,12,,,
faye dunaway,16,7,15,,,
female protagonist,16,8,14,,,
for kids,16,8,16,,,
generations,16,9,12,,,
going postal,16,6,10,,,
gold,16,15,9,,,
good adaptation,16,5,15,,,
great adaptations,16,11,6,,,
hanging,16,6,15,,,
hard to follow,16,9,15,,,
harland williams,16,13,6,,,
helicopters,16,11,9,,,
holes70s,16,16,1,,,
holly hunter,16,8,15,,,
holy grail,16,4,14,,,
hugh laurie,16,5,15,,,
hulk,16,5,14,,,
interrogation,16,12,10,,,
japanese horror,16,10,8,,,
jason lee,16,8,15,,,
jason vorhees,16,7,4,,,
kathryn bigelow,16,5,12,,,
killing,16,13,11,,,
korean war,16,7,14,,,
krzysztof kieslowski,16,9,8,,,
martin short,16,10,14,,,
mass behavior,16,4,14,,,
message,16,7,14,,,
michael clarke duncan,16,6,14,,,
missing persons,16,12,8,,,
monastery,16,7,10,,,
muscle,16,9,10,,,
nick park,16,8,5,,,
noah baumbach,16,6,8,,,
not seen,16,16,5,,,
on hold,16,14,5,,,
ontoleptic,16,15,2,,,
opposites attract,16,14,7,,,
otto preminger,16,14,4,,,
overdramatic,16,7,14,,,
pagan,16,4,15,,,
paul dano,16,9,12,,,
peter dinklage,16,9,13,,,
phillip seymour hoffman,16,7,14,,,
renny harlin,16,6,11,,,
resident evil,16,6,9,,,
revenge trilogy,16,5,11,,,
ricardo darin,16,5,12,,,
richard burton,16,9,13,,,
riot,16,11,11,,,
robert englund,16,7,7,,,
rock,16,12,11,,,
rotoscope,16,3,15,,,
sally field,16,10,9,,,
sam wood,16,15,2,,,
senseless violence,16,9,11,,,
seth macfarlane,16,3,13,,,
short films,16,10,16,,,
silly plot,16,7,11,,,
simpsons,16,2,16,,,
single shot,16,1,16,,,
so funny,16,9,9,,,
stephen mchattie,16,10,7,,,
subgenre:haunted house,16,16,1,,,
subgenre:kaiju,16,12,5,,,
subtle,16,12,16,,,
survival horror,16,8,12,,,
swimming pool,16,16,3,,,
tarantino is god,16,6,9,,,
theatre,16,16,12,,,
tã©a leoni,16,9,12,,,
undead,16,13,8,,,
unsympathetic characters,16,7,14,,,
vday,16,16,1,,,
violence in america,16,6,14,,,
visionary,16,8,14,,,
wall street,16,5,14,,,
warren beatty,16,9,10,,,
way too long,16,8,10,,,
worst movie ever,16,8,16,,,
wtf,16,13,11,,,
oscar,15,13,14,745,8.0,0.854375
good sequel,15,7,13,451,7.0,0.7046785714285715
comic,15,10,14,231,10.0,0.4649
08/09,15,15,1,,,
abbie cornish,15,5,13,,,
abrupt ending,15,9,14,,,
alan turing,15,1,15,,,
amazing artwork,15,8,7,,,
anatole litvak,15,14,2,,,
andrew lloyd webber,15,5,10,,,
andy serkis,15,11,11,,,
animal:cat,15,13,2,,,
annasophia robb,15,5,8,,,
anti-authoritarian,15,9,11,,,
anti-bush,15,2,14,,,
archery,15,9,10,,,
assassin-in-training,15,3,13,,,
bad story,15,12,14,,,
based on a cartoon,15,9,7,,,
based on a myth,15,7,9,,,
based on a short story,15,12,13,,,
based on tv series,15,9,14,,,
better than the first,15,7,11,,,
biographical view,15,12,4,,,
bob hope,15,14,2,,,
britain,15,13,13,,,
buenos aires,15,10,8,,,
bush bashing,15,8,8,,,
celebrity,15,10,14,,,
chaos,15,4,15,,,
chemistry,15,9,12,,,
christopher mintz-plasse,15,6,9,,,
clark gable,15,10,8,,,
comedy of manners,15,8,13,,,
comraderie,15,9,9,,,
contrived romance,15,7,9,,,
dating,15,11,13,,,
david spade,15,9,13,,,
david strathairn,15,13,4,,,
decent,15,14,7,,,
delusion,15,4,14,,,
demon possession,15,7,10,,,
directing,15,14,10,,,
disney studios,15,14,2,,,
donnie yen,15,9,10,,,
down on their luck,15,11,4,,,
edmund goulding,15,14,2,,,
edward furlong,15,8,10,,,
elisabeth shue,15,9,13,,,
emily browning,15,4,14,,,
epic adventure,15,10,10,,,
ernest hemingway,15,10,5,,,
family comedy,15,7,15,,,
farming,15,12,11,,,
female director,15,14,4,,,
female nudity,15,10,12,,,
formula 1 racing,15,3,15,,,
francois truffaut,15,8,9,,,
frank oz,15,11,6,,,
fred astaire,15,10,9,,,
frederick wiseman,15,14,2,,,
frivolous,15,12,5,,,
future dystopias,15,10,7,,,
fx,15,7,10,,,
george c. scott,15,8,10,,,
george stevens,15,14,2,,,
gore verbinski,15,9,4,,,
hal ashby,15,7,5,,,
hero,15,12,14,,,
heroic,15,10,12,,,
hollywood ending,15,9,11,,,
horse racing,15,7,12,,,
house,15,13,7,,,
hysterical,15,9,13,,,
iconic,15,11,9,,,
insane,15,10,13,,,
insightful,15,12,12,,,
jim carrey being jim carrey,15,2,12,,,
john cho,15,4,13,,,
john lithgow,15,11,14,,,
jokes,15,11,11,,,
jonathan rhys meyers,15,6,13,,,
journey,15,12,15,,,
kal penn,15,5,13,,,
kid flick,15,8,10,,,
kids movie,15,12,11,,,
killer,15,12,13,,,
larry david,15,2,15,,,
marinavista,15,15,1,,,
matthew lillard,15,8,12,,,
matthew vaughn,15,5,6,,,
metaphorical,15,9,12,,,
mia farrow,15,9,12,,,
middle earth,15,7,13,,,
mma,15,4,12,,,
models,15,8,11,,,
morocco,15,9,11,,,
moscow,15,9,12,,,
mothra,15,12,4,,,
nature wildlife,15,6,15,,,
neurosis,15,4,15,,,
no happy end,15,4,12,,,
old school horror,15,2,14,,,
optimism,15,2,15,,,
oscar nominee: editing,15,13,2,,,
oscar nominee: lead actress,15,10,5,,,
over-hyped,15,2,15,,,
pedro almodã³var,15,9,12,,,
penã©lope cruz,15,10,14,,,
period drama,15,8,13,,,
peter lorre,15,9,10,,,
phone booth,15,9,8,,,
plastic surgery,15,8,14,,,
polar,15,15,1,,,
pop art,15,13,5,,,
prince,15,9,12,,,
protagonist is a teacher,15,13,3,,,
pseudoscience,15,8,13,,,
psychothriller,15,5,15,,,
queen latifah,15,8,10,,,
quick cuts,15,6,11,,,
radiation,15,11,7,,,
rain,15,10,11,,,
rainn wilson,15,5,14,,,
ray harryhausen,15,11,4,,,
real,15,13,13,,,
rebel,15,9,12,,,
remake of a french film,15,7,10,,,
ridiculous characters,15,10,9,,,
river,15,10,11,,,
roberto rossellini,15,14,2,,,
roger corman,15,14,9,,,
rudyard kipling,15,9,5,,,
self-referential,15,6,12,,,
sightsound,15,14,2,,,
slow pace,15,9,12,,,
steve zahn,15,9,12,,,
stoner,15,8,14,,,
strange story,15,4,14,,,
subgenre:buddies,15,14,2,,,
subgenre:fairy tale,15,10,5,,,
subversive,15,12,9,,,
super panavision 70,15,15,1,,,
teacher changing lives,15,7,3,,,
teen comedy,15,3,15,,,
terrifying,15,8,14,,,
thanksgiving,15,9,12,,,
the shoah,15,14,2,,,
theft,15,10,12,,,
tom shadyac,15,7,6,,,
tourists,15,9,7,,,
téa leoni does not star in this movie,15,15,1,,,
val lewton,15,8,5,,,
video camera,15,14,3,,,
weather,15,4,10,,,
well acted,15,9,14,,,
whales,15,6,13,,,
william dieterle,15,15,1,,,
william powell,15,8,10,,,
women during wartime,15,12,5,,,
world war 2,15,9,11,,,
spock,14,2,14,957,1.0,0.9885
free speech,14,3,14,408,3.0,0.9434166666666667
tricky,14,1,14,1045,1.0,0.934
"""damn dirty apes""",14,6,7,,,
1950s housewives,14,5,9,,,
2 movies in 1,14,2,14,,,
aaron sorkin,14,5,10,,,
actor's life,14,14,3,,,
aki kaurismäki,14,13,2,,,
alexander payne,14,7,9,,,
alien contact,14,9,7,,,
alyson hannigan,14,5,11,,,
amazing,14,12,13,,,
amish,14,3,13,,,
ancient civilization,14,5,13,,,
animal cruelty,14,11,13,,,
asghar farhadi,14,5,7,,,
authenticity,14,6,12,,,
author:h. g. wells,14,10,3,,,
babies,14,5,13,,,
bad luck,14,8,14,,,
bad movie,14,12,11,,,
bad parents,14,11,5,,,
baking,14,7,11,,,
baltimore,14,7,9,,,
barry sonnenfeld,14,10,5,,,
based on a novel,14,7,12,,,
better than the old version,14,6,11,,,
billy crudup,14,6,13,,,
biomedical ethics,14,3,12,,,
bluegrass,14,3,12,,,
bob hoskins,14,8,11,,,
bobcat goldthwait,14,8,8,,,
boobs,14,8,14,,,
brief encounters,14,11,5,,,
cambodia,14,7,9,,,
canadian,14,8,11,,,
cg animation,14,5,14,,,
chaplin,14,7,11,,,
che guevara,14,3,14,,,
chris o'dowd,14,5,12,,,
chris pine,14,8,13,,,
church,14,9,9,,,
cinematographer:robert richardson,14,14,1,,,
classic horror,14,9,10,,,
cliches,14,7,12,,,
clique,14,5,13,,,
colorado,14,12,6,,,
comedy romance,14,7,14,,,
computer cracker,14,5,10,,,
contemplative,14,12,8,,,
countryside,14,10,9,,,
cowboy,14,9,12,,,
criticker top pick,14,14,1,,,
cultural customs and traditions,14,8,10,,,
danny elfman,14,6,8,,,
david schwimmer,14,9,6,,,
detective movie,14,4,14,,,
docudrama,14,6,13,,,
doomsday,14,7,9,,,
dramedy,14,7,13,,,
earthy,14,13,2,,,
elephants,14,6,13,,,
elizabeth hurley,14,4,13,,,
elvis iconography,14,7,8,,,
erotic thriller,14,7,11,,,
evil corporation,14,4,13,,,
facebook,14,3,13,,,
few action scenes,14,10,5,,,
fundamentalism,14,8,12,,,
gay rights,14,5,11,,,
genre:western noir,14,12,3,,,
german movie,14,9,7,,,
girl,14,14,4,,,
gã©rard depardieu,14,13,11,,,
hark tsui,14,9,5,,,
head movie,14,9,8,,,
health care,14,5,11,,,
heartfelt,14,8,14,,,
heterosexuality,14,13,2,,,
hilary duff,14,7,10,,,
holes80s,14,14,1,,,
horrifying (but not horror genre),14,8,8,,,
horrors of war,14,4,14,,,
human computer interaction,14,1,14,,,
humane,14,11,6,,,
humiliation,14,10,9,,,
ian holm,14,8,9,,,
identity theft,14,6,12,,,
inconsistent,14,10,11,,,
infantile,14,6,11,,,
infertility,14,8,12,,,
ivan reitman,14,9,4,,,
jackie earle haley,14,5,11,,,
james earl jones,14,12,11,,,
jan svankmajer,14,12,3,,,
jerry bruckheimer,14,5,11,,,
jim broadbent,14,12,11,,,
joe wright,14,5,9,,,
john sayles,14,11,5,,,
ken burns,14,10,5,,,
kristin scott thomas,14,9,11,,,
laura dern,14,6,14,,,
lawn mower,14,3,14,,,
legend,14,9,13,,,
lesbian character,14,11,11,,,
lewis milestone,14,13,2,,,
lust,14,10,9,,,
marlene dietrich,14,9,7,,,
mary elizabeth winstead,14,3,12,,,
mcdonalds,14,3,14,,,
mediocre plot,14,12,7,,,
mindless one liners,14,2,13,,,
misfits and outsiders,14,6,11,,,
mitchell leisen,14,12,3,,,
motion capture,14,4,14,,,
moviepig top pick,14,13,2,,,
new mexico,14,11,8,,,
new wave,14,6,13,,,
nicholas ray,14,13,2,,,
no soundtrack,14,8,9,,,
norman jewison,14,14,1,,,
nothing special,14,9,10,,,
nudity (animated),14,12,3,,,
numbers,14,10,8,,,
oliver hardy,14,13,2,,,
out for revenge,14,12,4,,,
outer space,14,5,11,,,
over-the-top action,14,10,8,,,
parent-children relationship,14,9,12,,,
pedro almodóvar,14,14,1,,,
period,14,6,12,,,
personality disorder,14,5,11,,,
peter bogdanovich,14,8,8,,,
political drama,14,5,13,,,
preacher,14,7,11,,,
provocative,14,9,12,,,
psycho,14,6,11,,,
r:nudity,14,12,4,,,
rap,14,5,12,,,
recommendz top pick,14,9,4,,,
responsibility,14,8,12,,,
richard harris,14,9,6,,,
robert louis stevenson,14,12,4,,,
robert mitchum,14,7,10,,,
robots and androids,14,8,11,,,
rouben mamoulian,14,12,2,,,
running,14,8,13,,,
rwanda,14,6,9,,,
samuel fuller,14,13,2,,,
seattle,14,8,10,,,
selma blair,14,7,12,,,
silly but good,14,10,10,,,
skiing,14,10,11,,,
social comentary,14,5,12,,,
space station,14,8,13,,,
spencer tracy,14,7,12,,,
stan laurel,14,13,2,,,
stanley donen,14,11,3,,,
stasi,14,1,14,,,
surgery,14,10,8,,,
tearjerker,14,7,13,,,
technirama,14,14,1,,,
thin plot,14,5,12,,,
too slow,14,11,14,,,
tornado,14,6,10,,,
treason,14,12,7,,,
trivial,14,9,9,,,
unimaginative,14,10,8,,,
unpredictable ending,14,6,12,,,
unrealistic action,14,6,14,,,
unrealistic characters,14,8,14,,,
unrealistic plot,14,8,12,,,
uwe boll,14,6,12,,,
watched 2005,14,14,1,,,
william holden,14,9,9,,,
wolfgang reitherman,14,9,2,,,
yasujiro ozu,14,8,8,,,
yimou zhang,14,8,8,,,
youth gone wild,14,6,9,,,
action-packed,13,7,11,20,7.0,0.8870357142857143
actors and acting,13,11,10,,,
alejandro jodorowsky,13,5,7,,,
alex gibney,13,13,1,,,
alien series,13,2,11,,,
amazing!,13,11,12,,,
america,13,12,11,,,
america porn,13,5,9,,,
americans abroad,13,12,6,,,
anarchy,13,7,11,,,
anders thomas jensen,13,3,6,,,
andrew davis,13,8,4,,,
andrew mccarthy,13,8,6,,,
anthony minghella,13,6,6,,,
anthony perkins,13,6,11,,,
apes,13,7,12,,,
ashley judd,13,9,13,,,
aubrey plaza,13,2,13,,,
author:roald dahl,13,5,7,,,
author:victor hugo,13,10,4,,,
autobiographical,13,9,10,,,
based on a comic book,13,4,13,,,
beatles soundtrack,13,2,13,,,
best movie ever,13,11,13,,,
bing crosby,13,7,7,,,
black humor,13,7,11,,,
bomb,13,4,13,,,
bondage,13,8,11,,,
brad bird,13,5,7,,,
bryan cranston,13,4,11,,,
burt reynolds,13,9,12,,,
cheap,13,10,11,,,
cheese,13,6,11,,,
children acting like adults,13,6,10,,,
chiwetel ejiofor,13,9,11,,,
classic thriller,13,6,9,,,
cold,13,12,11,,,
corporate greed,13,9,11,,,
creationism,13,3,13,,,
crime drama,13,7,13,,,
cronenberg,13,5,11,,,
dangerous attraction,13,12,3,,,
death of a parent,13,9,10,,,
different,13,12,12,,,
dirty harry,13,5,7,,,
donald pleasence,13,9,8,,,
dry humor,13,9,12,,,
dublin,13,4,11,,,
ealing studios,13,6,6,,,
eastwood,13,7,10,,,
edward zwick,13,8,6,,,
eminem,13,2,13,,,
emma roberts,13,5,10,,,
emotion,13,5,13,,,
end of war,13,8,7,,,
evil corporations,13,4,11,,,
fairy tale romance,13,1,13,,,
fathers and daughters,13,13,3,,,
fatih akin,13,6,6,,,
fear,13,11,10,,,
fiona shaw,13,11,4,,,
flawed characters,13,3,11,,,
frank langella,13,5,12,,,
freaks,13,7,11,,,
from the view of children,13,7,8,,,
funny!,13,9,13,,,
game,13,11,12,,,
garbage,13,11,12,,,
geisha,13,3,13,,,
gene roddenberry,13,4,5,,,
genre spoof,13,4,11,,,
gong li,13,5,9,,,
good animation,13,5,13,,,
good cinematography,13,6,13,,,
good vs evil,13,7,10,,,
hal hartley,13,8,4,,,
hamlet,13,12,5,,,
healing,13,10,7,,,
hideaki anno,13,7,6,,,
hijacking,13,4,10,,,
holes40s,13,13,1,,,
hot actress,13,12,3,,,
human potential,13,2,13,,,
illegal immigration,13,5,12,,,
informative,13,9,12,,,
inspired by a real-life person,13,7,9,,,
interesting animation style,13,3,11,,,
ira,13,5,12,,,
james belushi,13,7,10,,,
james coburn,13,10,7,,,
james cromwell,13,6,10,,,
james mangold,13,8,7,,,
jar jar binks,13,1,13,,,
jay roach,13,9,4,,,
jb's dvds,13,13,1,,,
jean dujardin,13,4,13,,,
jerusalem,13,6,11,,,
jim sturgess,13,5,12,,,
johnnie to,13,11,3,,,
jon heder,13,4,12,,,
jonathan frakes,13,4,7,,,
jordana brewster,13,4,9,,,
journey of self-discovery,13,8,8,,,
kenji misumi,13,13,1,,,
lobotomy,13,5,11,,,
luchino visconti,13,10,4,,,
malin akerman,13,7,12,,,
martin landau,13,7,10,,,
martin ritt,13,12,2,,,
martin starr,13,9,4,,,
massachusetts,13,7,9,,,
maya rudolph,13,4,12,,,
mccarthyism,13,7,10,,,
melanie laurent,13,2,12,,,
memorable,13,8,12,,,
michael pitt,13,6,7,,,
mike newell,13,8,7,,,
mikio naruse,13,13,1,,,
mississippi,13,10,6,,,
misunderstanding,13,7,11,,,
mortality,13,7,12,,,
mos def,13,7,12,,,
mouse,13,10,6,,,
movielens quickpick,13,11,3,,,
music is key to story (not musical genre),13,8,9,,,
music:abba,13,1,13,,,
narration,13,10,12,,,
netflixq,13,13,7,,,
new french extremism,13,6,5,,,
new year's eve,13,13,8,,,
nicolas roeg,13,8,6,,,
nicolas winding refn,13,4,8,,,
no character development,13,7,10,,,
not believable,13,7,13,,,
nurse,13,11,5,,,
ok,13,12,10,,,
olga kurylenko,13,6,10,,,
on the road,13,10,4,,,
on the run,13,10,8,,,
one of the best movies ever,13,8,11,,,
orgy,13,5,10,,,
over-the-top ending,13,7,9,,,
patrice leconte,13,9,4,,,
patrick wilson,13,8,11,,,
paul w.s. anderson,13,6,7,,,
pedophilia,13,6,13,,,
penis,13,12,5,,,
pennsylvania,13,10,9,,,
plague,13,7,12,,,
plot point:solving riddles/puzzles,13,5,9,,,
pokemon,13,9,5,,,
pool,13,5,9,,,
poop humor,13,2,13,,,
positive thinking,13,4,12,,,
pseudo-zombies,13,5,9,,,
punks,13,8,7,,,
puzzle,13,7,11,,,
rating very dependent on version,13,12,2,,,
rave,13,5,12,,,
really bad,13,8,9,,,
regrets,13,8,12,,,
renã©e zellweger,13,8,13,,,
reverse timeline,13,3,13,,,
revolutionary,13,6,13,,,
robert bresson,13,8,6,,,
robert harmon,13,13,1,,,
sarah silverman,13,2,13,,,
searching,13,10,6,,,
self-aware,13,6,12,,,
self-destructive romance,13,9,6,,,
set design,13,9,12,,,
setting:san francisco,13,6,9,,,
sexuality:bdsm,13,6,8,,,
shane meadows,13,6,8,,,
shanghai,13,7,9,,,
showdown,13,6,11,,,
social satire,13,12,3,,,
sociopath,13,9,13,,,
sophia coppola,13,3,12,,,
speed,13,4,11,,,
star-crossed lovers,13,8,7,,,
steve guttenberg,13,9,8,,,
stirring,13,11,5,,,
strangely compelling,13,7,8,,,
supermarket,13,6,12,,,
surprise octopus,13,12,2,,,
tadanobu asano,13,11,4,,,
temptation,13,6,9,,,
to see: crime,13,13,1,,,
transsexuals,13,5,13,,,
true love,13,10,13,,,
tv show,13,10,9,,,
ukraine,13,3,12,,,
ulrich thomsen,13,7,6,,,
unemployment,13,13,7,,,
united kingdom,13,7,7,,,
unnecessary,13,6,12,,,
unsettling,13,7,12,,,
very clever,13,9,6,,,
very funny!,13,11,8,,,
victor fleming,13,10,4,,,
virginia woolf,13,3,11,,,
whodunnit,13,9,11,,,
why the terrorists hate us,13,6,9,,,
will arnett,13,7,11,,,
winter,13,11,11,,,
xavier dolan,13,5,8,,,
hip-hop,12,2,12,507,2.0,0.9516249999999999
neo noir,12,8,9,700,8.0,0.7768125
1940's,12,9,8,,,
adrenaline,12,2,12,,,
adrenaline junkie,12,3,12,,,
agent,12,7,11,,,
airships,12,6,8,,,
alabama,12,9,5,,,
amazing fight choreography,12,6,7,,,
amazing soundtrack,12,7,10,,,
andrzej wajda,12,11,2,,,
anna paquin,12,8,11,,,
arranged marriages,12,10,5,,,
art direction,12,9,7,,,
author:arthur conan doyle,12,9,3,,,
backstage,12,10,3,,,
bad execution,12,7,11,,,
bad soundtrack,12,11,6,,,
bald nemesis,12,6,8,,,
barbara hershey,12,8,9,,,
based on manga,12,4,12,,,
beautiful animation,12,3,11,,,
bechdel test:pass (technically but not really),12,8,4,,,
ben whishaw,12,3,10,,,
best movies ever,12,11,4,,,
big brother,12,7,9,,,
bildungsroman,12,12,3,,,
bland hero,12,3,10,,,
bollocks,12,11,4,,,
boy scouts,12,5,12,,,
brian dennehy,12,10,8,,,
brian depalma,12,6,7,,,
brilliant ending,12,2,11,,,
bryce dallas howard,12,7,11,,,
busby berkeley,12,11,3,,,
carl theodor dreyer,12,6,6,,,
carla gugino,12,8,8,,,
carnival,12,9,9,,,
casting,12,8,8,,,
character:michael myers,12,10,2,,,
characters with great depth,12,7,12,,,
cheesy bad,12,7,12,,,
child murder,12,5,10,,,
chloe moretz,12,2,12,,,
christopher lambert,12,7,11,,,
chuck palahniuk,12,2,11,,,
cia agent,12,4,12,,,
class,12,10,8,,,
clever script,12,6,8,,,
cliffhanger,12,9,5,,,
complex morality,12,6,9,,,
costa-gavras,12,9,4,,,
creative plot,12,6,12,,,
cruelty,12,11,9,,,
cryptic,12,4,8,,,
date movie,12,7,9,,,
debased,12,10,3,,,
destruction,12,9,11,,,
diary,12,11,6,,,
dieselpunk,12,3,10,,,
discworld,12,3,9,,,
disjointed,12,10,9,,,
dreamworks animation,12,5,10,,,
drunkenness,12,10,9,,,
dumbed down,12,5,11,,,
eddie redmayne,12,9,8,,,
ending sucked,12,5,11,,,
english-language millenial comedies,12,12,1,,,
evil,12,11,12,,,
fantastic foreign films,12,9,4,,,
finnish new wave,12,12,2,,,
franco zeffirelli,12,9,3,,,
frank borzage,12,12,1,,,
frank herbert,12,3,10,,,
franklin j. schaffner,12,7,6,,,
gabriel byrne,12,5,12,,,
gael garcã­a bernal,12,6,10,,,
games,12,7,9,,,
george carlin,12,4,11,,,
glam rock,12,7,9,,,
goblin,12,5,11,,,
good casting,12,8,11,,,
good science,12,1,12,,,
gratuitous sex,12,7,11,,,
great use of music,12,11,5,,,
grieving,12,9,7,,,
grotesque,12,12,9,,,
guitar,12,9,10,,,
harlem,12,9,4,,,
homoerotic subtext,12,8,9,,,
hypocrisy,12,7,10,,,
imax,12,11,10,,,
immature,12,7,11,,,
important,12,4,11,,,
indiana,12,9,9,,,
interesting story,12,12,4,,,
isabella rossellini,12,7,10,,,
isao takahata,12,7,3,,,
jack conway,12,12,1,,,
jack the ripper,12,4,10,,,
jacques tati,12,5,7,,,
jail,12,10,11,,,
jailbreak,12,5,12,,,
jean negulesco,12,12,1,,,
jemaine clement,12,11,2,,,
jimmy stewart,12,6,11,,,
joe lo truglio,12,11,2,,,
john,12,12,2,,,
john cassavetes,12,11,2,,,
john lasseter,12,7,5,,,
john sturges,12,10,3,,,
jon voight,12,8,6,,,
josh duhamel,12,5,11,,,
josh hutcherson,12,6,10,,,
joy division,12,2,12,,,
judy garland,12,5,12,,,
juvenile,12,11,7,,,
karl urban,12,6,10,,,
kenya,12,7,8,,,
kickass,12,5,10,,,
kim cattrall,12,6,9,,,
kindness of strangers,12,4,10,,,
kirstie alley,12,6,9,,,
kusturica,12,4,11,,,
lauren graham,12,7,9,,,
leslie neilsen,12,6,8,,,
lolita,12,11,5,,,
lovely,12,8,11,,,
lucio fulci,12,6,8,,,
madeline kahn,12,4,11,,,
maintaining illusion,12,3,10,,,
makeup effects,12,9,11,,,
mako mori test:pass,12,12,1,,,
makoto shinkai,12,7,3,,,
mamoru hosoda,12,3,6,,,
materialism,12,9,6,,,
mediocre acting,12,5,12,,,
melissa mccarthy,12,4,11,,,
men in drag,12,6,7,,,
mental disability,12,6,10,,,
mentally impaired,12,9,4,,,
metal,12,8,11,,,
michael nyqvist,12,4,9,,,
michelle trachtenberg,12,4,10,,,
minimalistic,12,2,12,,,
misogynistic,12,11,10,,,
mmm... brains...,12,6,9,,,
molly ringwald,12,5,10,,,
monster:giant insect,12,10,2,,,
morricone score,12,5,7,,,
mothers and sons,12,11,4,,,
muay thai,12,4,11,,,
myrna loy,12,8,8,,,
netherlands,12,7,9,,,
no sex scenes,12,9,4,,,
oscar 2012,12,9,3,,,
oscar nominee: cinematography,12,11,2,,,
pam grier,12,6,7,,,
paralysis,12,3,10,,,
peer pressure,12,6,11,,,
peter segal,12,7,5,,,
pirate radio,12,2,11,,,
plot point:bio-medical danger,12,8,4,,,
political thriller,12,6,9,,,
pows,12,5,9,,,
predictable movie,12,9,12,,,
psychedellic,12,1,12,,,
psychopaths,12,8,11,,,
public relations,12,4,11,,,
puppetry,12,9,8,,,
puzzling,12,7,12,,,
r:strong sexual content,12,7,6,,,
racy,12,11,2,,,
rape & sexual abuse,12,9,11,,,
realistic relationships,12,7,11,,,
reality or imagination?,12,5,12,,,
rescue,12,9,11,,,
retarded,12,10,11,,,
rewatchable,12,9,5,,,
richard thorpe,12,12,1,,,
riddick,12,2,10,,,
roger avary,12,8,3,,,
ronald neame,12,12,1,,,
rufus sewell,12,9,11,,,
russian revolution,12,4,12,,,
russian roulette,12,7,10,,,
sea monster,12,5,10,,,
sean astin,12,8,10,,,
seen 2015,12,12,1,,,
self-indulgent,12,6,9,,,
shahrukh khan,12,9,6,,,
slow and predictable plot,12,6,12,,,
small cast,12,7,8,,,
social control,12,6,9,,,
socialism,12,9,9,,,
soldiers,12,11,10,,,
southern us,12,7,12,,,
stargate,12,3,9,,,
stephen herek,12,10,3,,,
steve oedekerk,12,4,9,,,
super technirama 70,12,12,1,,,
surreal-panos,12,12,1,,,
swamp,12,11,8,,,
tara reid,12,5,11,,,
taxi driver,12,10,5,,,
terrible dialogue,12,8,9,,,
terrible ending,12,6,12,,,
theme song,12,8,8,,,
therapist,12,9,8,,,
thin story,12,4,11,,,
to see with rachel,12,12,1,,,
to see: sci fi,12,12,1,,,
todd phillips,12,9,4,,,
tom tykwer,12,7,7,,,
toshirã´ mifune,12,9,8,,,
transvestism,12,9,8,,,
trucks,12,7,8,,,
vampire human love,12,2,11,,,
vanessa redgrave,12,12,10,,,
veterans,12,8,9,,,
will like,12,12,1,,,
william keighley,12,12,1,,,
worst movie ever!,12,8,12,,,
wyoming,12,4,9,,,
xenophobia,12,4,10,,,
zachary quinto,12,3,11,,,
fast-paced,11,6,7,382,5.0,0.6843999999999999
*good* musicals,11,7,5,,,
