tag,application_count,movie_count,user_count
profound,11,10,7
setting,11,10,10
sexual references,11,10,5
slash,11,10,2
society,11,10,9
summery,11,10,4
van helsing,11,10,2
what is happiness?,11,10,3
william faulkner,11,10,2
young love,11,10,8
anarchism,11,9,9
author:richard matheson,11,9,4
author:robert louis stevenson,11,9,2
biased,11,9,10
comic strip,11,9,3
could have been better,11,9,8
cult movie,11,9,8
dennis dugan,11,9,2
desert island flicks,11,9,4
disappointing ending,11,9,10
eddie izzard,11,9,7
influential,11,9,8
jacques tourneur,11,9,4
jules dassin,11,9,3
juvenile deliquent,11,9,8
male-female relationship,11,9,4
members of the press,11,9,4
mobster,11,9,9
oscar 2013,11,9,3
oscar nominee: costume design,11,9,2
passion,11,9,10
positive,11,9,9
protagonist is writer,11,9,3
reporter,11,9,9
saturn award (best fantasy film),11,9,3
sexual inuendo,11,9,3
sheriff,11,9,7
soldier,11,9,7
alan j. pakula,11,8,4
arctic,11,8,7
austin,11,8,9
better than the book,11,8,9
brett ratner,11,8,4
captain,11,8,5
characterization,11,8,10
david gordon green,11,8,4
deus ex machina,11,8,8
director's cut,11,8,7
dostoyevsky,11,8,7
james whale,11,8,4
leadership,11,8,10
let down,11,8,8
liev schreiber,11,8,10
magical,11,8,9
meaningless,11,8,11
metaphor,11,8,9
michelangelo antonioni,11,8,4
mirrors,11,8,7
mysticism,11,8,9
porn industry,11,8,9
prehistoric,11,8,4
psychopath,11,8,9
ruined the franchise,11,8,5
rupert everett,11,8,8
snl alums,11,8,5
sophomoric,11,8,11
stupid main character,11,8,8
time paradox,11,8,8
uneven,11,8,8
villain,11,8,11
*good* musicals,11,7,5
atomic bomb,11,7,8
author:dr. seuss,11,7,4
awkward romance,11,7,9
beautiful photography,11,7,10
castle,11,7,10
corrupt cops,11,7,7
devil worship,11,7,5
disturbing in a bad way,11,7,11
eugene levy,11,7,10
falsely accused,11,7,9
gratuitous,11,7,7
great cast excellent,11,7,7
groundbreaking,11,7,9
handheld cameras,11,7,11
insurance,11,7,9
john steinbeck,11,7,5
labor unions,11,7,5
manga,11,7,10
mary mcdonnell,11,7,6
michigan,11,7,6
nora ephron,11,7,6
painful,11,7,10
poor script,11,7,10
queen,11,7,8
radio dj,11,7,7
real estate,11,7,8
rebecca hall,11,7,11
repression,11,7,9
self-esteem,11,7,10
sissy spacek,11,7,10
some funny parts,11,7,8
stephen sondheim,11,7,6
stupid but funny,11,7,9
takeshi kaneshiro,11,7,5
unbearable,11,7,10
alejandro gonzález iñárritu,11,6,6
alexis bledel,11,6,6
bad jokes,11,6,11
bank,11,6,10
butler,11,6,9
david carradine,11,6,8
deforest kelley,11,6,5
dominic cooper,11,6,7
epilepsy,11,6,10
fast food,11,6,11
fast-paced,11,6,7
femme fatale,11,6,11
ice,11,6,9
j.m. barrie,11,6,5
jamaica,11,6,6
jane campion,11,6,4
josh lucas,11,6,8
judd apatow movie,11,6,4
lee pace,11,6,7
lisa kudrow,11,6,10
living dead,11,6,9
martyrdom,11,6,10
masculinity,11,6,9
my favourite,11,6,7
natives,11,6,10
nerd,11,6,10
nick and nora charles,11,6,5
paul greengrass,11,6,6
rushed,11,6,9
second chance,11,6,11
too much action,11,6,9
true to life,11,6,10
unlikely heroes,11,6,7
vincenzo natali,11,6,8
waste of celluloid,11,6,7
writing process,11,6,7
alan alda,11,5,11
alec guiness,11,5,8
amanda bynes,11,5,7
ancient greece,11,5,9
ayn rand,11,5,6
book is better,11,5,10
christmas movie,11,5,11
clockwork devices,11,5,6
cormac mccarthy,11,5,6
damsel in distress,11,5,11
david tennant,11,5,10
denis villeneuve,11,5,7
fencing,11,5,8
fred willard,11,5,9
great ensemble cast,11,5,8
haneke,11,5,6
jennifer love hewitt,11,5,9
joker,11,5,10
messy,11,5,10
military industrial complex,11,5,7
monotonous,11,5,11
natalie wood,11,5,4
real-time,11,5,8
stephen rea,11,5,11
violence pornography,11,5,8
whit stillman,11,5,4
abstract,11,4,11
adrienne shelly,11,4,7
beautiful color,11,4,7
beethoven,11,4,10
chris pratt,11,4,10
cinderella,11,4,10
crusades,11,4,9
cryogenics,11,4,8
eugenics,11,4,10
ghibli,11,4,11
great plot,11,4,11
jodorowsky,11,4,7
kids fun,11,4,10
life reflection,11,4,11
little red riding hood,11,4,10
not faithful to the book,11,4,10
original story,11,4,8
philip glass,11,4,10
role reversal,11,4,11
stephen hawking,11,4,11
terrible plot,11,4,9
terry jones,11,4,5
tibet,11,4,9
vangelis,11,4,10
apu trilogy,11,3,7
cult of persona,11,3,10
entertaining for the wrong reasons,11,3,10
good performance,11,3,10
great premise,11,3,11
hurried ending,11,3,11
minions,11,3,10
montypython,11,3,10
morgan spurlock,11,3,8
narnia,11,3,7
nascar,11,3,10
panic,11,3,11
ridiculous end,11,3,11
teen relationships,11,3,11
three colors trilogy,11,3,6
u-boat,11,3,9
uma thruman,11,3,6
unicorns,11,3,10
alcoholic,11,2,11
based on a computer game,11,2,10
dark side of india,11,2,10
duncan jones,11,2,10
great humor,11,2,11
idi amin,11,2,10
norse,11,2,10
obvious plot,11,2,11
record store,11,2,11
ryan philippe,11,2,11
shane carruth,11,2,9
steroids,11,2,10
the fall of the berlin wall,11,2,9
uganda,11,2,10
zach galifinakis,11,2,11
bane's voice,11,1,11
bill maher,11,1,11
final fantasy,11,1,11
no marriage at the end,11,1,11
sounds,11,1,11
04/09,10,10,1
accents,10,10,8
afi100,10,10,1
archie mayo,10,10,1
birthday,10,10,4
bkk,10,10,1
character:jason vorhees,10,10,1
desire,10,10,2
don't want to see,10,10,2
ettore scola,10,10,1
f,10,10,2
george roy hill,10,10,1
joão césar monteiro,10,10,1
lewis gilbert,10,10,1
mediocre,10,10,9
michael ritchie,10,10,1
monster hunter,10,10,1
monster:giant gorilla,10,10,1
my computer,10,10,1
nagisa ôshima,10,10,1
oop,10,10,1
oscar nominee: sound effects editing,10,10,1
rené clair,10,10,1
robert siodmak,10,10,1
schmaltzy,10,10,6
school life,10,10,1
shaw brothers,10,10,3
simon wincer,10,10,1
subgenre:police detective,10,10,1
subscription,10,10,1
t&a,10,10,1
to see: comedy,10,10,1
violin,10,10,5
volker schlöndorff,10,10,1
walter hill,10,10,1
adult,10,9,6
attachment,10,9,2
bonnie hunt,10,9,5
chia-liang liu,10,9,2
clyde geronimi,10,9,2
community,10,9,9
cool but freaky,10,9,4
craig robinson,10,9,3
crappy,10,9,5
daniel auteuil,10,9,5
david thewlis,10,9,7
faltering friendships,10,9,2
fiction,10,9,7
hallmark channel production,10,9,3
leo mccarey,10,9,2
meaningful,10,9,8
mute,10,9,7
not a documentary,10,9,2
okay once,10,9,3
political unrest,10,9,4
rate up,10,9,2
related:007 (series),10,9,2
saturn award (best music),10,9,6
setting:london (uk),10,9,2
stopped watching,10,9,4
subgenre:road trip,10,9,2
subterranean,10,9,3
terror,10,9,7
thieves,10,9,6
william friedkin,10,9,2
zibri studio,10,9,2
absent fathers,10,8,5
amputee,10,8,5
anne heche,10,8,9
bus,10,8,6
cabin,10,8,7
civilians at war,10,8,3
cute boys,10,8,4
dry,10,8,8
enjoyed despite myself,10,8,3
gay interest,10,8,5
giuseppe tornatore,10,8,4
good idea,10,8,8
horrible acting,10,8,10
intriguing,10,8,9
inventive,10,8,9
jon lovitz,10,8,8
life in general,10,8,6
looks interesting -- plot,10,8,3
marc forster,10,8,3
meandering,10,8,9
movies about movies,10,8,5
oscar nominee: lead actor,10,8,4
pbs,10,8,4
personal,10,8,8
phone,10,8,4
postwar,10,8,4
raw,10,8,10
refugee,10,8,4
richard lester,10,8,2
richard pryor,10,8,9
robert carlyle,10,8,7
rod serling,10,8,4
romany malco,10,8,4
saturn award (best supporting actor),10,8,4
sea,10,8,10
sean bean lives,10,8,3
secretary,10,8,5
seen on airplane,10,8,3
seijun suzuki,10,8,3
shootout,10,8,7
super interesting,10,8,3
the up series,10,8,3
unsatisfying,10,8,7
aleksey balabanov,10,7,3
americana,10,7,9
andie macdowell,10,7,8
androgyny,10,7,5
anomie,10,7,5
aristocracy,10,7,5
author:rudyard kipling,10,7,3
concentration camp,10,7,7
cross-dressing women,10,7,4
curtis hanson,10,7,5
daniel stern,10,7,8
f. murray abraham,10,7,6
fortune-telling,10,7,4
hilarious!,10,7,10
independence,10,7,10
istanbul,10,7,7
john rhys-davies,10,7,4
karate,10,7,7
lon chaney jr.,10,7,4
lowest common denominator,10,7,4
lying,10,7,7
mark waters,10,7,4
mistaken identities,10,7,6
motherhood,10,7,6
oliver reed,10,7,9
pakistan,10,7,6
polish movie,10,7,6
psychic,10,7,8
revisionist western,10,7,8
rise and fall stories,10,7,5
sacrilege,10,7,7
sergei m. eisenstein,10,7,3
sexual violence,10,7,8
sharks,10,7,9
the ending,10,7,8
tries too hard,10,7,10
ventriloquist,10,7,8
vertically challenged people,10,7,4
vignettes,10,7,8
violently stupid,10,7,7
will forte,10,7,5
bad writing,10,6,10
chile,10,6,8
claude rains,10,6,6
colin hanks,10,6,7
creepy singing,10,6,7
dance movie,10,6,8
deniro,10,6,8
dickens,10,6,5
documentary style,10,6,10
douglas sirk,10,6,5
duel,10,6,7
eric idle,10,6,8
ezra miller,10,6,6
f. scott fitzgerald,10,6,5
fable,10,6,10
fight choreography,10,6,7
fred macmurray,10,6,7
gene tierney,10,6,6
heroes,10,6,10
hiroyuki sanada,10,6,5
jerry lewis,10,6,6
lesbian sex scene,10,6,8
lone wolf and cub series,10,6,3
madeleine stowe,10,6,9
michael sheen,10,6,8
miscarriage of justice,10,6,5
nick and nora charles (series),10,6,2
not a comedy,10,6,7
nuclear weapons,10,6,10
omar sharif,10,6,10
peter boyle,10,6,9
philip marlowe,10,6,5
polygamy,10,6,9
poor character development,10,6,9
protagonist is an idiot,10,6,5
pseudo-philosophical,10,6,6
richard nixon,10,6,6
romans,10,6,9
sadomasochistic,10,6,8
saturn award (best actor),10,6,7
siberia,10,6,9
sicily,10,6,8
slapstick humor,10,6,8
soviet,10,6,9
sport:soccer football,10,6,4
subtle humor,10,6,10
summer,10,6,9
tony leung chiu wai,10,6,8
traitor,10,6,8
unions,10,6,8
wales,10,6,10
wooden acting,10,6,9
adam brody,10,5,9
adam mckay,10,5,6
andy wachowski,10,5,5
anne bancroft,10,5,9
anxiety,10,5,8
brad anderson,10,5,6
calm,10,5,9
cher,10,5,8
class conflict,10,5,7
colours,10,5,10
corporate culture,10,5,8
depressing without being uplifting,10,5,9
f.w. murnau,10,5,5
freddie prinze jr.,10,5,10
gay sex,10,5,9
graham greene,10,5,8
hepburn and tracy,10,5,4
jan de bont,10,5,3
julie christie,10,5,8
kelly macdonald,10,5,9
keri russell,10,5,10
lawyer as protagonist,10,5,6
luis buã±uel,10,5,10
matt stone,10,5,6
michael gambon,10,5,8
michael york,10,5,6
mother son relationship,10,5,10
no depth,10,5,10
noah wyle,10,5,5
one liners,10,5,10
orcs,10,5,9
overpopulation,10,5,8
pauly shore,10,5,8
prison break,10,5,8
protagonist is journalist,10,5,6
quirky humor,10,5,10
ralph macchio,10,5,6
real time,10,5,8
rodney dangerfield,10,5,7
schizo-cam,10,5,5
shaky cam,10,5,9
shelley duvall,10,5,10
socially relevant,10,5,6
strange ending,10,5,9
stripping,10,5,7
teamwork,10,5,7
absurdism,10,4,10
alex proyas,10,4,7
atonement,10,4,9
charles bukowski,10,4,8
chris sarandon,10,4,7
cliche ending,10,4,8
ed norton,10,4,8
evil children,10,4,6
excellent fxs,10,4,7
explicit sex,10,4,10
good and evil,10,4,10
guillaume canet,10,4,9
improvised,10,4,10
industrial progress,10,4,10
innovation,10,4,10
jean-paul belmondo,10,4,9
magazines,10,4,8
marketing,10,4,10
mossad,10,4,9
neo-realism,10,4,10
nicholas hoult,10,4,8
olivia thirlby,10,4,8
parrots,10,4,7
plot hole,10,4,10
plot makes no sense,10,4,10
popularity,10,4,10
randy quaid,10,4,7
richard curtis,10,4,8
rita hayworth,10,4,10
shenanigans,10,4,6
strong female,10,4,10
the dog,10,4,10
too many characters,10,4,10
too much violence,10,4,10
too predictable,10,4,10
violently silly,10,4,9
yugoslavia,10,4,9
zoe bell,10,4,7
comic sidekick,10,3,9
cool dialogues,10,3,10
cosmetic surgery,10,3,10
cuban missile crisis,10,3,10
danny elfman score,10,3,8
darth vader,10,3,7
fernando meirelles,10,3,9
gay cowboy,10,3,10
homer,10,3,8
i wanted to hug this movie,10,3,10
ice skating,10,3,9
january jones,10,3,10
katherine isabelle,10,3,6
lack of development,10,3,10
large family,10,3,9
likeable,10,3,9
live action/animation,10,3,8
lobbyism,10,3,8
michael jai white,10,3,8
nixon,10,3,10
rationality,10,3,10
romeo and juliet,10,3,10
sean patrick flanery,10,3,10
secret societies,10,3,10
shane black,10,3,8
slow moving plot,10,3,10
stylised,10,3,9
terry pratchett,10,3,6
thomas vinterberg,10,3,7
tony jaa,10,3,8
trilogy of the imagination,10,3,4
vincent gallo,10,3,9
white guilt,10,3,7
zombie movie,10,3,9
2d/3d hybrid animation,10,2,8
apatow productions,10,2,9
biological warfare,10,2,10
blackjack,10,2,10
brit marling,10,2,9
bullet ballet,10,2,9
central intelligence agency,10,2,10
code breaking,10,2,10
contamination,10,2,9
deja vu,10,2,10
douglas adams,10,2,9
favelas,10,2,10
just not good,10,2,9
manchester,10,2,10
mimics documentary-style,10,2,10
no narrative,10,2,10
repressed sexuality,10,2,9
slang,10,2,10
sleeper agent,10,2,9
zero gravity,10,2,10
dumb science,10,1,10
english literature,10,1,10
high squirm factor,10,1,10
undercover cops,10,1,10
unusual plot structure,10,1,10
1910s,9,9,5
?adapted from:book,9,9,1
abroad,9,9,1
afi,9,9,1
al leong,9,9,1
alexander korda,9,9,2
andy robinson,9,9,1
annoying reporter,9,9,1
anthony asquith,9,9,1
ax-grinding,9,9,1
bad editing,9,9,6
bands,9,9,6
based on a tv show?,9,9,1
basil dearden,9,9,1
bearable disney,9,9,1
brian,9,9,1
btaegekids,9,9,1
cinéma vérité,9,9,2
david butler,9,9,1
edward dmytryk,9,9,1
fame,9,9,7
favorite scenes,9,9,1
favourite,9,9,1
flick,9,9,1
george marshall,9,9,1
george miller,9,9,1
george sidney,9,9,1
grandmother,9,9,2
h.c. potter,9,9,1
innocent,9,9,3
irritating,9,9,6
john schlesinger,9,9,1
katottava,9,9,1
legislation,9,9,1
library system,9,9,1
marcel pagnol,9,9,1
murder/fatality,9,9,2
netflix dvd,9,9,2
netflix on hold,9,9,1
nice,9,9,9
okay,9,9,7
olivier assayas,9,9,1
pg-13:sci-fi action violence,9,9,2
prosthetics,9,9,1
rewatch for rating,9,9,1
ring,9,9,3
robert z. leonard,9,9,1
roy william neill,9,9,1
sang-soo hong,9,9,1
saturn award (best director),9,9,2
sean bean dies,9,9,2
sexual content,9,9,2
theme:lying,9,9,1
to see: action,9,9,1
washed up,9,9,4
agent/assassin with false memories/amnesia,9,8,2
alienation,9,8,8
amy heckerling,9,8,2
anger,9,8,8
awful movie,9,8,6
bad casting,9,8,9
catholic,9,8,9
child acting,9,8,4
conscience,9,8,6
david zucker,9,8,2
dead,9,8,6
elvis presley,9,8,2
energy,9,8,6
flat,9,8,5
girls,9,8,4
golden harvest,9,8,3
guardian,9,8,4
hebrew,9,8,4
herbert ross,9,8,2
highschool,9,8,7
human trafficking,9,8,7
innocence,9,8,6
joseph losey,9,8,2
love this movie,9,8,4
mature,9,8,4
meh,9,8,9
michael anderson,9,8,2
original is better,9,8,7
photograph,9,8,3
richard brooks,9,8,2
roger donaldson,9,8,2
speilberg,9,8,2
stanley kramer,9,8,2
supporting characters,9,8,8
teachers and students,9,8,3
television show,9,8,2
udo kier,9,8,4
unhappy marriage,9,8,3
weak,9,8,9
whiskey,9,8,4
algeria,9,7,8
andy lau,9,7,4
awful...just awful,9,7,9
babysitting,9,7,7
based on novel,9,7,7
beau bridges,9,7,8
brad dourif,9,7,7
bruce beresford,9,7,3
castration,9,7,6
cincinnati,9,7,4
confusing ending,9,7,9
country,9,7,7
drowning,9,7,8
elderly,9,7,8
erich von stroheim,9,7,4
escapism,9,7,7
ex-cop,9,7,6
finance,9,7,6
francis veber,9,7,3
gender,9,7,6
generation gap,9,7,7
gossip,9,7,6
happiness,9,7,9
high body count,9,7,3
hitler,9,7,7
houston,9,7,5
innuendo,9,7,9
james woods,9,7,8
jihad,9,7,4
joan crawford,9,7,5
king kong,9,7,4
leelee sobieski,9,7,8
loyalty vs. betrayal,9,7,4
michael madsen,9,7,6
mindblowing,9,7,8
modern,9,7,8
monologue,9,7,8
no story line,9,7,9
nursing home,9,7,4
penelope spheeris,9,7,3
pimps,9,7,6
post-modern,9,7,7
propaganda in disguise,9,7,7
radha mitchell,9,7,9
religious oppression,9,7,6
revealing,9,7,4
ridiculous training sequence,9,7,6
slow-paced,9,7,9
tom hooper,9,7,3
top 10 ever,9,7,3
twentysomething life,9,7,5
wacky,9,7,9
academia,9,6,7
angelic intervention,9,6,4
anthropomorphized animals,9,6,6
antoine fuqua,9,6,6
author:john grisham,9,6,4
best friends,9,6,5
bullshit,9,6,8
catherine o'hara,9,6,7
david twohy,9,6,5
dentist,9,6,7
don't forget to see,9,6,4
doug liman,9,6,5
drums,9,6,5
empty,9,6,9
expose,9,6,5
f. gary gray,9,6,4
gay marriage,9,6,8
gunfights,9,6,8
hitchhiker,9,6,5
hungary,9,6,7
infantil,9,6,7
invention,9,6,6
james marsh,9,6,4
jesus freaks,9,6,5
kathleen turner,9,6,8
legal,9,6,9
mary stuart masterson,9,6,7
mature kids,9,6,4
medical,9,6,9
men being taught how to woo,9,6,4
michael palin,9,6,6
mother-daughter relationship,9,6,8
newspaper theme,9,6,8
noirish,9,6,5
nudity (full - male),9,6,7
oliver platt,9,6,9
one of the worst movies of all time,9,6,7
oscar (best art direction - set decoration),9,6,6
oscar (best screenplay),9,6,8
outcast teaches us all a cheesy lesson,9,6,4
paddy considine,9,6,9
philip kaufman,9,6,4
play adaptation,9,6,6
politicians,9,6,5
relatable,9,6,6
rock hudson,9,6,8
romcom,9,6,8
security guard,9,6,5
shirley maclaine,9,6,7
stiller&wilson,9,6,4
stupid twist,9,6,8
sufficiently explodey to be good,9,6,5
tony curtis,9,6,9
too simple plot,9,6,8
union,9,6,8
volcano,9,6,4
want to see,9,6,9
anthony quinn,9,5,8
apple,9,5,9
atom egoyan,9,5,6
bats,9,5,7
cliched plot,9,5,9
crossdressing,9,5,7
crying,9,5,9
daniel brã¼hl,9,5,8
debate,9,5,8
dramatic irony,9,5,8
dudley moore,9,5,6
dwarves,9,5,7
eastern europe,9,5,8
ecological,9,5,8
escape from prison,9,5,7
eye-opening,9,5,6
family movie,9,5,9
fay wray,9,5,5
french movie,9,5,8
gnosticism,9,5,6
good comedy,9,5,7
grainy,9,5,8
human condition,9,5,6
incomprehensible,9,5,6
indoctrination,9,5,7
indonesia,9,5,7
james l. brooks,9,5,4
james wan,9,5,6
jason,9,5,3
jason biggs,9,5,9
jay chou,9,5,8
living with disability,9,5,6
lon chaney,9,5,5
matthew macfadyen,9,5,8
mena suvari,9,5,8
mice,9,5,9
modernism,9,5,8
moralistic,9,5,7
paolo sorrentino,9,5,3
parenting,9,5,8
pirate,9,5,7
poor plot development,9,5,7
pub,9,5,8
puerto rico,9,5,6
rubbish,9,5,9
sam dunn,9,5,3
scuba diving,9,5,8
space battle,9,5,7
stereotyped characters,9,5,8
superheros,9,5,8
survivalist,9,5,8
sweet and romantic,9,5,8
talia shire,9,5,2
technicolor,9,5,6
terry zwigoff,9,5,5
thandie newton,9,5,8
todd haynes,9,5,5
todd solondz,9,5,4
totalitarian states,9,5,6
vacation romances,9,5,6
very sad,9,5,9
amateur film making,9,4,8
americans save the world,9,4,5
anti-corporation,9,4,9
ballroom dancing,9,4,8
bennett miller,9,4,6
bob fosse,9,4,5
brent spiner,9,4,5
campaign manager,9,4,6
caper movie,9,4,8
cars with weapons,9,4,5
cultural differences,9,4,8
culture shock,9,4,8
doesn't live up to its full potential,9,4,9
dogma,9,4,8
dragon ball,9,4,6
dystopian future,9,4,9
fetish,9,4,6
flight,9,4,8
funny dialogues,9,4,8
good remake,9,4,9
great anime,9,4,6
green,9,4,8
john hawkes,9,4,8
katana,9,4,9
lena headey,9,4,7
leos carax,9,4,5
media politics,9,4,8
misanthropic,9,4,8
no suspense,9,4,9
obnoxious,9,4,9
patrick dempsey,9,4,9
phylosophycal,9,4,9
popcorn,9,4,9
scientist experiments on self,9,4,6
second half was worse,9,4,7
spectacle,9,4,9
stuart townsend,9,4,8
the plot,9,4,8
therapy,9,4,9
tragicomedy,9,4,7
twist downer ending,9,4,7
weak third act,9,4,7
weapons industry,9,4,7
zizek,9,4,8
adult animation,9,3,9
anime cliches,9,3,8
anne rice,9,3,6
atlantis,9,3,9
battle of the sexes,9,3,7
cats and dogs,9,3,9
comedic horror,9,3,8
country life,9,3,9
dream-like,9,3,9
ed helms,9,3,9
female power,9,3,9
harper lee,9,3,8
human versus computer,9,3,8
inspiring teacher,9,3,9
john f. kennedy,9,3,6
julie taymor,9,3,7
lee van cleef,9,3,7
liza minnelli,9,3,8
maori,9,3,9
mumbai,9,3,7
persia,9,3,9
role playing game,9,3,9
shailene woodley,9,3,9
sibling rivalry,9,3,9
snappy dialog,9,3,8
software developers,9,3,9
stopping time,9,3,8
teenage pregnancy,9,3,8
alternate world,9,2,9
be satisfied with your life little man,9,2,8
cartoon-reality crossover,9,2,8
cornetto trilogy,9,2,8
cultural authenticity,9,2,9
cured by love/hope,9,2,8
drew goddard,9,2,8
elle fanning,9,2,8
extremely gory,9,2,9
felicia day,9,2,9
gang brawls,9,2,9
george lazenby,9,2,7
horrible finish,9,2,9
illusions,9,2,9
jaime pressly,9,2,8
lacks logic,9,2,9
louis theroux,9,2,9
macbeth,9,2,9
onesided,9,2,9
parallels worlds,9,2,9
skeletor,9,2,8
too much love interest,9,2,9
unreal reactions,9,2,8
absolutely hilarious,9,1,9
alien monster,9,1,9
ancient books,9,1,9
borg,9,1,9
constantly rotating filming,9,1,9
dead nazis,9,1,9
exquisite plotting.,9,1,9
hailee steinfeld,9,1,9
hard science fiction,9,1,9
philosophical issues,9,1,9
understated charm,9,1,9
very dumb,9,1,9
2015 academy award nomination best picture,8,8,1
7.2-filmaffinity,8,8,1
a classic,8,8,3
animated segments,8,8,2
awful awards,8,8,1
bernard herrmann,8,8,2
bitter ending,8,8,4
blockbuster,8,8,7
bravery,8,8,8
carl reiner,8,8,2
cinema digital sound,8,8,1
cruel,8,8,8
d.w. griffith,8,8,1
delivery boy,8,8,3
director,8,8,5
dual-hd video,8,8,1
fabrice luchini,8,8,3
fred schepisi,8,8,1
georg wilhelm pabst,8,8,1
good characters,8,8,8
good movie,8,8,5
great title,8,8,1
growth,8,8,4
h. bruce humberstone,8,8,1
holes60s,8,8,1
imax 3-d,8,8,1
irving rapper,8,8,1
jean-jacques annaud,8,8,1
joe berlinger,8,8,1
john williams,8,8,5
katso sanna!,8,8,1
ken annakin,8,8,1
kids in trouble,8,8,2
lasse hallström,8,8,1
lionel barrymore,8,8,4
maid,8,8,3
mario monicelli,8,8,1
matheson,8,8,1
mick jackson,8,8,1
ne,8,8,1
nikita mikhalkov,8,8,1
nora roberts,8,8,1
norman foster,8,8,1
obscene,8,8,6
oscar nominee: art direction,8,8,1
palme d'or,8,8,7
peru,8,8,5
peter cook,8,8,1
raoul ruiz,8,8,1
rated r,8,8,3
resistance,8,8,8
ruutu.fi,8,8,1
sam taylor,8,8,1
scientist,8,8,6
seasons,8,8,3
shaolin,8,8,1
snappy banter,8,8,1
spielberg/lucas,8,8,1
steve miner,8,8,1
swimming,8,8,2
tay garnett,8,8,1
telepathy,8,8,6
thong,8,8,1
two-color technicolor,8,8,1
ulrich seidl,8,8,1
unconventional romance,8,8,4
uninteresting,8,8,8
vincent sherman,8,8,1
without martha,8,8,1
women in jeopardy,8,8,1
wonderful,8,8,5
1890s,8,7,4
accent,8,7,6
animated classic,8,7,4
arthur penn,8,7,2
audition,8,7,3
authentic,8,7,7
available at cml,8,7,2
bad music,8,7,6
bar brawl,8,7,2
batman (series),8,7,2
blind,8,7,4
brainless,8,7,6
burt lancaster,8,7,6
carlos saldanha,8,7,2
chuck jones,8,7,2
dad,8,7,3
decadent,8,7,4
deceit,8,7,6
disco,8,7,8
discrimination,8,7,7
egg,8,7,2
excessive violence,8,7,6
families in crisis,8,7,3
fantasy life,8,7,3
garry marshall,8,7,5
giovanni ribisi,8,7,6
guy maddin,8,7,2
hamilton luske,8,7,2
high society,8,7,6
hipster,8,7,7
hirokazu koreeda,8,7,2
hypertextual,8,7,2
jean-pierre dardenne,8,7,2
jessica lange,8,7,8
john g. avildsen,8,7,2
karel reisz,8,7,2
lauren montgomery,8,7,2
lee marvin,8,7,4
legacy,8,7,5
length,8,7,8
losers,8,7,6
luc dardenne,8,7,2
manoel de oliveira,8,7,2
mansion,8,7,6
modern art,8,7,3
no chemistry,8,7,7
nonsense,8,7,7
octopus,8,7,7
plot: seven samurai,8,7,2
power,8,7,8
practical fx,8,7,3
premise,8,7,8
prisoners,8,7,6
quotable dialogue,8,7,3
r:sexual content,8,7,2
richard benjamin,8,7,3
robert shaw,8,7,4
rock music,8,7,7
saturn award (best supporting actress),8,7,4
separation,8,7,7
silence,8,7,5
steve james,8,7,2
stockholm,8,7,6
success,8,7,8
treacherous spouses,8,7,2
unanswered questions,8,7,2
unlikely criminals,8,7,2
16mm,8,6,5
acting and story,8,6,6
agonizing,8,6,6
airplane crash,8,6,7
american,8,6,6
anthony wong chau-sang,8,6,5
armin mueller-stahl,8,6,7
bad screenplay,8,6,7
bechdel test: pass,8,6,6
bernie mac,8,6,7
better than original,8,6,7
bisexuality,8,6,7
brian cox,8,6,6
cavalry charge,8,6,3
cheech marin,8,6,6
choreography,8,6,8
composer,8,6,8
consciousness,8,6,7
disgusting scenes,8,6,6
dylan moran,8,6,5
edgar award (best motion picture screenplay),8,6,3
elevator,8,6,5
elias koteas,8,6,7
ensemble,8,6,8
excellent soundscore,8,6,3
explosion,8,6,8
gay friend,8,6,7
globalisation,8,6,8
golden globe winner,8,6,5
great actors,8,6,8
great direction,8,6,8
gretchen mol,8,6,6
hinduism,8,6,5
homage to hitchcock,8,6,4
individualism,8,6,7
intelligence,8,6,6
jada pinkett smith,8,6,6
jason isaacs,8,6,5
john singleton,8,6,4
joseph fiennes,8,6,7
king,8,6,6
lawrence kasdan,8,6,3
leslie howard,8,6,6
loner,8,6,6
mario bava,8,6,3
mathieu kassovitz,8,6,5
michelle yeoh,8,6,8
middle ages,8,6,7
missionary,8,6,5
mistery,8,6,8
montreal,8,6,8
morally counterintuitive,8,6,3
musician,8,6,8
nature vs. civilization,8,6,8
nicholas meyer,8,6,3
no story,8,6,7
noel coward,8,6,5
olivia de havilland,8,6,6
overhyped,8,6,5
patient,8,6,4
peter ustinov,8,6,8
private eyes,8,6,2
pro american,8,6,3
prom,8,6,6
protest,8,6,8
purpose in life,8,6,6
quebec,8,6,6
randal kleiser,8,6,2
raquel welch,8,6,5
ray romano,8,6,5
recovery,8,6,4
retirement,8,6,7
rob cohen,8,6,4
salespeople,8,6,5
seen it before,8,6,5
setting:montreal,8,6,3
sexually leaky,8,6,4
ship,8,6,8
stellan skarsgard,8,6,7
stuttering,8,6,7
subgenre:screwball,8,6,3
summer camp,8,6,6
superstition,8,6,8
switzerland,8,6,8
topic:hollywood industry,8,6,3
trevor howard,8,6,3
unfaithfulness,8,6,6
wallace and gromit,8,6,3
walter huston,8,6,5
well plotted,8,6,4
white house,8,6,5
whodunit,8,6,6
wishes,8,6,6
women's rights,8,6,7
xmas theme?,8,6,4
alain delon,8,5,6
amusement park,8,5,5
asperger's syndrome,8,5,7
bahamas,8,5,7
brad silberling,8,5,4
brandon routh,8,5,4
